,axis-0,axis-1
7,4.0,635.0
8,4.0,646.5
9,4.0,650.0
11,4.0,702.0
12,4.0,712.0
13,4.0,778.5
22,5.0,1267.0
25,6.0,18.0
27,6.0,908.5
29,7.0,1238.0
37,11.0,777.0
42,13.0,710.0
47,18.0,831.5
52,20.0,457.0
55,21.0,62.0
56,22.5,849.5
59,23.5,503.0
68,27.0,124.0
72,28.0,951.0
75,29.0,892.5
79,30.0,1002.5
85,32.2,1057.8
89,32.0,1010.5
93,34.0,1078.75
95,34.5,222.0
98,35.0,1087.0
102,37.0,1421.6666666666667
103,37.5,108.0
104,37.5,209.0
106,37.0,1103.5
111,38.0,1227.0
112,38.0,1268.0
114,38.5,1414.0
115,39.0,1116.0
116,39.0,1119.0
132,42.0,1159.5
138,43.0,1444.0
139,44.0,809.5
140,44.0,1175.0
145,45.0,1367.0
146,45.0,1480.0
147,46.5,812.0
149,46.0,1089.5
150,46.0,1172.0
155,49.2,302.8
157,48.0,1486.0
159,49.0,145.0
160,49.0,1362.5
163,51.0,1352.0
166,52.0,223.0
167,52.0,530.0
169,53.0,913.0
171,54.0,1535.5
177,55.5,1576.0
179,56.0,317.0
199,69.0,931.0
201,70.0,703.0
208,72.0,342.5
209,72.0,651.0
210,73.0,655.5
213,74.0,802.5
219,75.0,821.5
220,75.0,880.5
223,77.5,85.0
224,77.0,721.0
233,83.0,414.5
235,84.0,1392.5
237,85.0,526.0
239,86.0,626.0
241,87.0,1059.0
242,88.5,517.0
247,91.0,1541.0
264,97.0,453.0
265,97.5,1056.0
269,100.0,981.0
271,101.5,1018.0
275,103.0,1046.5
288,111.0,1154.5
298,113.0,640.0
309,117.0,1520.0
313,119.0,1257.0
314,119.0,1285.5
319,120.33333333333333,243.33333333333334
325,125.5,682.6666666666666
328,127.5,1489.0
329,128.5,306.0
330,129.0,959.0
333,133.0,703.5
335,134.0,110.0
337,138.0,303.0
339,140.0,243.0
343,143.5,106.0
344,143.0,718.0
349,144.0,833.0
354,146.75,815.25
359,148.0,335.0
361,148.0,906.5
362,148.33333333333334,923.3333333333334
365,150.4,983.4
366,152.0,338.0
380,161.0,46.5
384,161.0,278.0
391,166.5,1091.0
392,167.0,286.0
393,167.0,289.0
394,167.5,1508.0
395,168.0,283.0
397,168.5,1200.0
398,169.0,1111.5
401,171.5,476.0
402,171.0,1115.0
406,172.0,355.5
412,173.0,370.0
413,173.0,1534.5
414,174.0,1192.0
415,174.0,1196.0
422,176.0,220.0
423,176.0,1175.5
424,176.5,1360.0
428,177.0,1188.0
430,178.0,429.0
431,178.0,1219.5
433,179.0,453.5
434,179.0,463.0
438,180.0,1243.5
443,182.0,332.0
452,183.0,1336.0
453,184.0,203.0
455,185.0,547.5
456,184.0,1268.0
460,185.0,1388.0
462,186.0,443.5
463,186.5,1270.0
464,186.0,1309.0
465,186.0,1313.5
467,187.5,508.0
471,187.0,1437.5
472,188.0,522.0
474,188.5,1462.0
476,189.66666666666666,572.0
478,190.0,319.0
479,190.0,489.0
480,192.0,493.0
485,196.5,630.0
486,196.5,643.0
489,196.5,1391.0
491,198.0,1297.5
497,201.0,609.0
499,204.0,646.0
500,204.0,693.0
501,205.0,42.0
502,205.0,800.0
505,208.0,202.0
517,216.5,795.0
518,216.0,953.0
525,224.0,1021.5
528,229.0,770.5
531,229.5,1589.0
534,231.0,1544.0
536,232.0,167.0
541,233.0,1536.5
544,239.0,1113.0
546,240.0,247.0
551,246.33333333333334,489.3333333333333
554,247.0,1277.5
555,247.0,1299.0
557,249.0,192.0
558,249.0,1355.5
561,250.0,1339.0
565,250.0,1482.5
566,251.5,1068.0
568,251.0,1410.0
569,252.0,1361.0
572,258.0,1458.0
573,259.5,359.0
576,260.0,487.5
580,262.0,774.0
595,277.0,1315.5
597,281.0,32.0
599,282.0,106.5
603,283.0,1072.5
611,285.0,1010.0
615,286.25,1066.0
616,286.5,1140.0
619,288.0,1174.0
620,289.0,28.5
622,289.0,1188.5
660,326.5,1114.0
667,330.0,300.5
671,336.0,7.5
673,339.0,439.0
689,360.0,1106.0
691,361.0,877.0
692,362.0,939.0
694,363.0,860.5
698,363.0,1070.0
727,384.5,1464.0
728,385.0,129.0
731,389.0,253.0
753,428.5,899.0
762,434.0,1364.0
783,453.5,271.5
785,457.0,1122.0
791,461.0,1475.0
795,466.5,12.0
796,467.0,309.0
807,483.0,342.5
809,490.0,587.0
830,525.0,604.0
833,526.0,546.0
835,527.0,554.0
836,527.0,1402.0
