,axis-0,axis-1
851,547.0,379.0
858,551.0,353.0
867,563.0,1114.0
869,564.5,448.0
873,568.0,141.5
878,570.0,1019.5
886,581.0,587.0
887,581.5,1164.0
889,583.0,1175.5
891,584.0,1200.0
893,585.0,1573.5
894,586.0,503.0
897,587.0,1218.0
898,588.0,498.5
903,592.0,1231.0
904,593.0,1306.0
905,593.0,1426.0
908,596.0,1343.5
915,601.0,237.0
921,613.0,211.0
922,615.0,294.5
940,639.0,913.5
945,648.0,444.0
949,650.0,131.5
951,653.0,54.0
952,653.0,166.0
954,654.0,157.0
961,657.0,471.0
966,660.0,986.0
977,673.0,1422.5
981,677.0,220.0
993,705.0,643.0
994,706.0,406.5
997,708.6666666666666,139.66666666666666
1002,713.0,624.0
1005,718.0,419.0
1011,723.0,69.5
1013,724.0,293.5
1020,731.0,1253.0
1021,732.0,411.0
1033,745.0,1311.0
1041,749.0,227.0
1080,819.0,257.5
1081,820.0,226.5
1090,826.0,854.5
1098,829.0,907.5
1111,834.5,1288.0
1112,835.0,1171.0
1141,888.5,215.0
1142,889.0,548.5
1150,899.0,606.5
1152,900.0,625.5
1175,921.0,1062.0
1179,925.0,19.5
1184,930.0,40.0
1191,933.0,972.5
1198,937.0,414.5
1202,938.0,1197.5
1210,960.5,195.0
1215,963.0,1450.0
1220,971.0,195.0
1223,975.5,585.0
1225,978.0,281.0
1226,986.0,8.5
1235,1000.0,89.0
1238,1004.0,104.5
1243,1009.0,895.5
1244,1009.0,1032.5
1254,1013.0,1093.0
1256,1014.0,966.0
1264,1020.5,1243.0
1265,1020.0,1468.5
1269,1023.0,499.0
1270,1023.0,1465.0
1274,1025.0,1294.0
1276,1027.0,35.0
1283,1033.0,1449.0
1284,1034.0,553.0
1286,1034.0,760.0
1295,1041.5,1589.0
1297,1044.0,186.0
1312,1065.0,186.0
1315,1068.5,1124.0
1316,1069.0,487.5
1322,1073.0,995.5
1326,1075.0,75.0
1330,1077.0,849.5
1351,1107.0,1199.0
1353,1107.3333333333333,1349.0
1359,1113.0,1300.5
1360,1114.0,1039.0
1361,1114.0,1458.0
1364,1116.0,1180.0
1366,1116.0,1490.0
1377,1141.0,1181.0
1379,1142.3333333333333,672.6666666666666
1381,1142.0,780.0
1383,1144.0,1570.0
1384,1145.0,659.0
1385,1145.5,769.0
1387,1148.0,557.0
1389,1154.5,610.0
1394,1156.0,863.0
1397,1158.0,587.5
1409,1176.0,1499.5
1410,1178.3333333333333,979.3333333333334
1414,1187.0,1513.5
1415,1188.0,591.0
1419,1190.0,395.0
1420,1190.0,590.5
1422,1191.0,520.5
1424,1192.0,406.0
