,axis-0,axis-1
7,6.0,968.0
9,7.0,698.0
10,7.0,778.0
11,7.0,1254.0
15,9.0,544.0
17,10.0,1173.0
18,11.0,604.0
21,12.0,1325.0
23,13.0,954.0
26,14.0,916.0
29,16.0,875.0
34,19.0,1150.5
35,20.0,1165.5
37,21.0,417.0
38,21.0,920.5
39,22.0,924.0
48,27.0,1307.0
49,28.0,936.0
52,33.0,1378.0
57,36.5,1316.0
64,43.5,1379.0
67,46.0,989.0
73,49.0,18.0
77,52.0,1255.5
81,53.0,673.0
82,53.0,992.0
85,54.0,810.0
86,54.0,1341.0
87,55.0,990.0
90,55.0,1526.0
91,58.0,1002.0
96,60.0,988.0
97,60.0,1006.0
103,62.5,241.5
104,62.0,1578.5
111,68.0,381.0
112,68.0,937.5
114,70.0,242.5
115,71.5,937.0
117,72.0,477.5
118,73.33333333333333,981.3333333333334
120,77.0,1269.0
124,84.5,1396.0
126,85.0,316.0
127,85.0,469.0
128,85.0,1419.5
133,91.0,182.5
135,92.0,1030.0
137,92.0,1504.0
138,94.5,195.0
167,114.8,943.2
169,117.33333333333333,708.3333333333334
170,117.0,1457.0
172,120.0,29.0
173,120.5,65.0
176,121.0,309.0
177,121.0,1013.0
182,123.0,1449.0
185,126.0,203.0
189,127.0,1004.0
199,130.0,989.0
202,132.0,1589.0
203,133.0,194.0
206,134.0,974.0
223,144.0,1276.0
224,146.0,290.0
225,146.5,1589.0
227,148.0,822.5
228,149.5,46.0
231,151.0,1120.0
236,155.0,681.5
237,155.0,1590.0
240,157.0,6.0
241,157.0,997.5
244,159.0,703.5
256,168.0,709.0
257,168.0,818.0
262,169.0,13.0
269,173.0,707.0
271,173.0,1286.0
274,175.0,994.0
275,175.0,1053.0
277,175.0,1376.0
281,177.0,563.0
282,177.0,955.0
284,179.0,20.0
287,180.0,990.0
293,184.0,605.0
302,193.5,990.0
308,195.5,406.0
311,196.0,977.0
314,198.0,970.0
316,198.0,1522.5
326,206.0,138.0
330,208.0,1410.5
339,213.0,136.0
341,215.5,1223.0
344,216.5,531.0
345,217.0,1463.0
351,224.0,1547.0
352,225.0,628.0
355,226.5,1025.0
358,228.5,139.5
361,229.0,856.0
362,229.0,1143.0
364,230.33333333333334,332.3333333333333
369,235.33333333333334,330.3333333333333
372,235.5,1349.0
375,236.0,225.5
376,236.0,839.0
389,248.0,1352.0
390,248.0,1403.5
395,252.0,1001.25
396,251.5,1401.0
406,256.0,1370.0
412,259.0,932.0
415,262.3333333333333,1000.3333333333334
419,264.5,114.5
426,268.0,276.0
428,268.0,1531.0
431,270.5,623.0
432,270.0,943.0
434,271.0,542.0
435,271.5,647.0
439,272.3333333333333,693.3333333333334
441,273.5,1290.0
442,274.3333333333333,646.3333333333334
445,276.0,58.0
447,277.5,308.0
454,284.0,407.0
455,285.0,1226.0
459,288.5,659.0
463,289.0,1073.0
466,291.0,1197.0
474,296.6666666666667,1393.0
480,298.0,1481.0
482,299.5,897.0
483,300.0,108.0
485,301.0,1018.5
486,300.0,1189.0
490,303.0,13.0
492,303.0,1197.0
497,305.0,1398.0
498,306.0,1187.0
501,308.0,245.0
505,314.1666666666667,883.5
512,318.3333333333333,1017.3333333333334
514,319.0,1517.5
521,323.0,165.0
525,324.5,8.0
527,324.0,906.0
528,325.0,247.5
531,326.0,366.0
536,329.5,7.0
537,329.0,29.0
538,329.0,67.0
539,329.0,1152.0
542,330.0,945.0
543,330.0,1013.0
546,332.0,886.0
547,332.0,1152.0
548,333.0,1406.0
549,334.0,275.0
550,334.0,277.0
556,337.0,890.5
558,338.0,270.0
562,340.3333333333333,5.333333333333333
567,344.0,897.0
586,357.0,917.5
589,359.0,15.0
597,363.0,1412.5
599,365.0,762.5
600,365.0,771.5
603,367.0,353.5
604,367.0,768.5
607,369.5,1512.0
613,373.0,126.0
614,373.0,700.0
617,374.0,803.0
622,377.5,697.0
627,379.0,891.0
632,380.0,670.5
641,386.0,804.0
643,387.5,781.0
645,389.0,262.0
649,390.5,868.0
651,391.5,833.0
652,391.0,1037.5
653,392.0,227.5
655,393.0,680.0
657,395.0,21.0
658,395.0,1039.5
661,397.0,996.0
662,397.0,1437.0
669,403.0,9.0
672,405.5,835.0
689,422.5,1100.0
693,423.0,142.5
698,425.0,753.5
701,426.0,830.0
703,427.0,582.0
707,429.0,14.0
714,433.0,531.0
716,436.0,370.0
728,441.5,985.0
735,444.0,735.0
737,445.0,600.0
738,445.0,857.0
745,451.0,286.0
747,452.0,1348.0
767,463.0,1153.0
771,464.0,659.0
777,468.0,462.0
780,470.0,702.0
784,474.0,1263.0
791,478.3333333333333,103.33333333333333
797,482.0,1580.0
798,483.5,587.0
800,483.0,1184.0
801,483.0,1207.0
815,490.0,940.0
822,496.0,1247.5
824,497.0,642.0
829,501.0,128.5
841,509.0,47.0
844,509.0,1579.5
848,511.0,541.0
852,512.0,1444.0
855,515.0,27.0
860,518.5,701.0
861,518.5,1356.0
862,519.0,122.0
864,519.0,707.0
867,521.3333333333334,1454.3333333333333
871,523.0,598.0
877,528.0,1099.0
882,530.0,494.5
883,530.0,1127.0
887,532.0,347.0
890,532.0,1491.0
891,533.0,1124.0
893,534.0,18.0
901,541.0,368.0
902,541.5,837.0
904,541.5,1588.0
908,543.5,295.0
909,543.0,1315.0
911,544.0,1372.5
912,545.0,1129.5
913,545.5,1172.0
914,547.0,546.5
917,548.5,216.0
921,549.0,1082.0
922,549.0,1171.5
926,550.0,1588.5
932,552.0,1053.5
933,553.0,267.5
940,556.0,1035.5
942,557.0,279.0
947,558.0,702.0
949,559.5,1042.0
954,562.0,1390.5
957,564.0,225.5
961,570.5,367.0
963,573.0,1191.5
967,575.0,807.0
970,577.0,1407.0
972,578.0,496.0
973,581.5,448.0
974,581.0,450.5
979,584.0,487.0
984,587.0,315.5
985,589.0,1294.5
1007,603.0,616.5
1021,606.0,1441.0
1023,607.5,1120.0
1030,609.0,238.0
1034,610.0,1161.0
1035,610.0,1360.0
1042,614.0,1153.0
1049,617.0,121.5
1055,621.5,437.0
1056,622.0,1162.0
1057,622.0,1166.0
1061,624.0,1109.5
1067,626.0,97.0
1076,634.0,194.0
1083,637.0,743.0
1097,642.0,1590.0
1098,643.0,503.0
1105,645.0,1341.0
1108,647.5,1540.0
1113,650.0,39.5
1115,651.0,174.0
1116,651.5,182.0
1117,651.0,760.0
1123,654.5,732.0
1126,655.0,165.5
1134,657.0,520.5
1135,658.0,137.0
1142,663.5,2.0
1148,665.0,1404.5
1166,672.5,953.0
1168,672.0,1503.0
1170,675.0,284.0
1171,675.0,1108.0
1172,676.5,75.0
1176,677.0,1310.0
1178,677.0,1589.5
1180,678.0,1204.5
1183,679.0,1210.0
1185,680.0,1345.0
1186,681.0,71.0
1187,681.0,156.0
1191,681.0,1452.5
1192,681.0,1466.0
1193,682.0,1318.0
1194,682.0,1322.0
1198,684.5,907.0
1201,685.5,303.0
1203,686.0,423.0
1204,686.0,565.0
1206,688.0,116.0
1207,688.0,1340.0
1208,688.0,1344.5
1212,691.0,172.5
1214,691.0,1081.0
1221,695.0,1593.5
1229,699.0,372.0
1230,699.0,379.0
1231,699.0,964.0
1237,704.0,573.0
1243,708.0,979.0
1260,721.0,111.5
1268,724.5,118.0
1272,727.0,463.0
1273,727.0,845.5
1276,728.5,1544.8333333333333
1278,728.0,1136.0
1281,728.0,1399.0
1286,729.5,1565.0
1287,731.0,169.0
1288,731.0,172.0
1291,733.5,131.0
1294,736.5,664.0
1296,737.5,57.0
1297,737.0,168.0
1299,738.6666666666666,1004.6666666666666
1300,738.5,1590.0
1301,740.5,166.0
1303,740.6666666666666,574.6666666666666
1306,743.6,1125.2
1309,743.0,1312.0
1321,750.3333333333334,244.33333333333334
1325,751.0,55.5
1332,752.5,1085.0
1333,753.0,121.0
1337,755.0,708.0
1338,756.0,690.0
1343,758.3333333333334,537.3333333333334
1344,758.0,1394.0
1351,761.0,473.0
1355,762.0,1089.5
1360,766.0,1124.0
1366,771.0,527.0
1367,772.0,136.0
1368,773.0,613.0
1371,775.0,239.0
1374,775.0,1131.5
1377,776.0,1396.0
1379,780.0,761.0
1380,781.0,202.5
1386,787.0,1059.0
