,axis-0,axis-1
1395,792.0,1399.0
1399,795.0,1196.5
1410,806.0,79.5
1411,805.0,693.0
1430,818.0,1017.0
1431,819.0,289.0
1439,828.0,118.0
1442,829.0,77.0
1443,829.5,210.0
1444,831.5,933.0
1451,834.5,666.0
1454,835.0,125.5
1458,836.5,424.0
1463,839.0,191.0
1470,842.5,761.0
1471,843.0,137.0
1473,844.0,944.0
1481,846.0,158.0
1485,847.0,111.5
1491,849.0,351.0
1499,853.0,941.0
1501,856.0,544.0
1508,864.0,1068.3333333333333
1511,865.0,40.0
1514,867.0,228.0
1516,868.3333333333334,1042.0
1518,871.25,212.25
1520,870.0,670.0
1521,871.0,776.0
1523,872.0,172.5
1524,872.0,227.0
1527,873.5,1375.0
1530,874.5,1299.0
1535,878.5,565.0
1537,879.0,1181.0
1544,881.0,788.0
1546,881.0,1524.0
1548,882.0,248.0
1550,882.0,1299.0
1553,884.0,110.0
1554,884.3333333333334,1469.3333333333333
1557,887.0,223.66666666666666
1560,887.0,30.0
1563,888.0,1040.0
1575,896.0,133.0
1577,896.0,1192.5
1584,898.0,1411.0
1587,899.0,1307.0
1593,902.5,1242.0
1596,905.0,115.5
1597,906.0,1034.0
1598,908.0,1035.0
1602,911.0,965.5
1606,915.0,1053.0
1610,919.5,251.0
1618,927.5,94.0
1622,930.5,616.0
1625,930.0,1571.5
1628,933.0,44.5
1631,934.0,164.5
1632,934.5,613.0
1634,935.0,312.5
1636,937.0,1296.0
1638,938.5,874.0
1643,943.0,235.0
1644,944.0,45.0
1646,946.5,1371.0
1647,947.0,48.0
1652,951.0,1520.5
1654,952.0,49.0
1656,953.5,628.0
1659,955.0,989.0
1661,955.0,1358.5
1663,957.2,309.2
1667,959.0,548.5
1669,960.5,989.0
1679,967.0,1180.0
1685,971.0,262.0
1691,973.0,631.0
1695,975.5,642.0
1701,979.0,1441.5
1702,980.5,741.0
1706,983.0,455.0
1715,988.5,1313.0
1716,989.5,742.0
1719,990.0,336.5
1723,992.0,1417.0
1724,993.5,742.0
1726,994.0,1524.0
1732,1000.0,305.0
1733,1000.5,1015.0
1738,1003.0,1001.0
1744,1009.5,1419.0
1746,1012.0,252.5
1748,1013.0,652.0
1752,1018.0,663.0
1778,1032.0,482.5
1779,1032.0,237.5
1791,1038.0,474.5
1792,1038.0,1259.5
1794,1039.0,209.0
1800,1040.0,1032.0
1802,1041.0,478.5
1804,1041.0,1225.0
1805,1043.0,378.0
1813,1046.0,531.0
1816,1047.5,1034.0
1819,1051.0,465.0
1837,1064.0,688.0
1847,1068.5,583.0
1894,1107.0,795.5
1896,1108.0,840.5
1898,1110.0,515.0
1901,1112.0,660.0
1902,1113.0,1564.0
1923,1130.0,1232.0
1928,1132.0,1083.0
1937,1136.0,1141.0
1939,1138.5,867.5
1945,1141.0,952.5
1950,1144.0,440.0
1951,1144.0,751.0
1952,1144.0,753.5
1957,1146.0,710.5
1962,1149.0,674.0
1966,1150.0,1339.0
1968,1151.0,1143.5
1971,1154.0,1126.0
1977,1157.0,1134.0
1983,1162.6666666666667,1156.6666666666667
1997,1169.5,809.0
1998,1170.0,271.0
2005,1176.0,133.5
2010,1179.5,1171.0
2012,1180.0,51.0
2015,1182.0,366.0
2017,1183.0,804.0
2024,1186.0,905.0
