,axis-0,axis-1
29,69.0,609.0
33,75.0,568.0
104,173.0,322.5
108,175.0,78.5
144,225.0,418.0
146,228.0,1478.5
257,400.0,620.0
260,403.0,1286.5
270,412.0,1152.5
274,416.5,782.0
383,574.0,759.0
385,576.0,253.5
476,714.0,537.0
477,714.0,890.0
533,786.5,44.0
535,786.0,1551.0
548,806.5,1525.0
550,810.0,89.0
567,838.0,732.0
569,842.0,1325.5
610,912.0,536.0
612,913.0,1034.0
670,995.5,1235.0
671,996.0,1170.0
689,1019.0,855.0
691,1021.0,1329.0
716,1055.5,980.0
719,1058.0,1022.0
742,1096.5,507.0
746,1100.0,938.5
