,axis-0,axis-1
3,6.0,1167.5
7,10.0,214.5
98,242.0,491.0
99,243.0,1448.0
102,254.0,798.5
103,257.5,333.0
229,643.3333333333334,370.3333333333333
232,645.0,640.5
244,680.5,92.0
245,680.0,553.0
248,690.0,70.0
249,691.5,92.0
278,760.5,235.0
279,762.0,1549.0
290,784.0,505.0
292,788.5,223.0
306,822.0,26.0
307,824.0,17.0
315,850.0,1544.0
317,852.0,1090.5
324,878.0,642.5
325,878.0,1559.5
326,879.0,1564.0
330,884.0,664.0
331,884.0,1453.0
338,892.5,1470.0
340,894.5,1486.0
341,895.0,100.0
344,898.5,721.0
353,922.0,135.0
355,927.5,731.0
375,964.3333333333334,1123.3333333333333
377,970.5,113.0
381,985.0,308.0
382,985.0,608.0
389,1015.0,1230.0
390,1016.0,1141.0
402,1044.5,522.0
407,1046.0,513.0
413,1058.5,270.0
416,1065.0,255.5
