,axis-0,axis-1
38,36.0,1175.0
41,37.333333333333336,1221.0
44,41.5,1469.5
47,44.333333333333336,597.3333333333334
48,44.0,845.0
58,54.0,367.0
63,58.0,802.5
72,66.0,657.5
75,68.0,1026.5
76,68.0,1142.0
79,70.0,380.5
80,70.0,724.0
83,72.0,400.0
86,73.0,200.0
87,74.0,386.5
101,83.5,335.0
107,88.0,208.0
117,94.0,660.0
126,100.0,837.5
127,100.0,1327.5
132,103.0,333.0
133,103.0,853.0
138,105.0,1371.0
140,107.0,282.0
144,109.0,258.0
158,120.0,350.0
164,123.0,162.5
204,167.0,417.5
205,170.0,1130.0
206,171.0,1132.0
209,172.0,1117.5
211,174.0,173.5
212,174.0,615.0
218,179.66666666666666,561.0
220,182.0,1195.5
222,183.0,925.0
224,184.0,982.5
227,185.5,883.0
231,187.0,1427.5
232,188.0,490.0
234,189.0,1085.0
239,192.0,363.5
243,198.16666666666666,99.83333333333333
258,205.0,1153.0
266,210.5,1268.0
269,215.0,478.0
271,216.0,756.5
272,216.0,1186.0
273,218.0,848.0
275,219.5,442.0
279,221.0,801.0
286,223.0,569.5
289,227.0,565.0
293,229.0,1469.0
294,230.33333333333334,852.3333333333334
296,231.5,360.0
299,233.0,1082.5
302,234.0,563.0
316,241.0,1020.0
326,245.0,696.5
340,251.0,1354.0
342,253.5,1153.0
354,262.0,782.0
360,265.5,539.0
361,266.0,259.0
363,267.0,1592.0
364,268.5,261.0
365,268.0,523.0
369,269.0,1078.0
371,270.0,1587.0
402,294.0,556.0
406,297.0,115.5
407,298.0,806.0
408,298.0,1099.0
411,299.0,642.5
413,301.0,1214.0
415,302.5,1008.0
426,313.6666666666667,1426.6666666666667
428,315.5,466.0
432,318.5,300.0
433,318.0,741.5
442,324.0,1260.5
443,325.3333333333333,1247.3333333333333
446,327.3333333333333,386.6666666666667
449,329.0,1337.5
457,332.0,373.0
462,334.5,389.0
463,334.5,415.0
464,335.0,215.0
466,336.0,763.5
486,349.0,67.0
487,349.5,183.0
489,352.0,1529.0
492,353.0,624.0
496,355.0,1493.0
497,356.3333333333333,401.3333333333333
501,361.0,545.0
502,361.0,1103.0
503,361.5,1105.0
504,361.0,1234.0
506,363.5,1079.0
508,364.5,554.0
