,label,centroid-0,centroid-1
0,1,19.482526881720432,16.195564516129032
1,2,27.26323921899143,465.67102121084423
2,3,7.087365591397849,589.983870967742
3,4,10.230973116243847,1042.3381294964029
4,5,6.865155131264917,1170.6742243436754
5,6,26.876133513409222,1414.1238664865907
6,7,20.046259280411192,1544.768703597944
7,8,63.325046262772545,357.89830235739
8,9,33.78994784257942,813.6902165323218
9,10,64.13734013207389,114.21984452060519
10,11,33.79322897706589,1249.421550782672
11,12,61.078647416413375,1124.119490881459
12,13,105.87238699792054,730.6012914523367
13,14,98.95212863146355,1248.6261648090626
14,15,85.10394610202117,1344.7901828681424
15,16,102.81947921882825,1497.6892839258887
16,17,73.89204545454545,834.7244318181819
17,18,78.42105263157895,944.5131578947369
18,19,89.58951707891637,258.75088339222617
19,20,94.60408299866131,1015.3865461847389
20,21,146.67970240366273,662.9841663487218
21,22,108.25908496732026,897.9832679738562
22,23,141.91167638226463,319.5357710651828
23,24,126.19248608534323,1131.0480055658627
24,25,150.57934621099554,57.642347696879646
25,26,165.588,413.7477333333333
26,27,164.0058383233533,206.4122754491018
27,28,149.42567858681602,1325.8341232227488
28,29,148.94782608695652,912.4173913043478
29,30,184.74680727554178,551.4880998452012
30,31,172.5723824406876,1076.6286404318796
31,32,189.32285471537807,1540.7303879920703
32,33,201.73175388353727,1350.2628655732015
33,34,194.67944330367328,920.3912845083277
34,35,213.10812309398392,330.27141668976986
35,36,245.75977274654457,186.70796235054692
36,37,240.15531580130366,878.8725556304788
37,38,240.29295554977904,1021.9724460618664
38,39,253.0532319391635,742.4163498098859
39,40,263.6508287292818,70.05177584846093
40,41,252.78014527845036,411.063599677159
41,42,254.0390387537994,1205.2793503039513
42,43,273.87527675276755,596.8285362853628
43,44,286.7073496287645,1489.1311420705765
44,45,285.3314393939394,883.1160037878788
45,46,315.02867072111206,1040.4064788382773
46,47,331.7061716006021,1269.5543401906673
47,48,316.24785352229236,441.2624392262336
48,49,318.09902475618907,40.71342835708927
49,50,337.4944879089616,798.5472972972973
50,51,327.33040935672517,887.8162071846282
51,52,361.5916776253992,229.2682697726846
52,53,352.2909090909091,82.2235294117647
53,54,379.93185219293196,717.0841487279844
54,55,367.3108019425121,1511.881874261714
55,56,377.2927825692238,582.4035406264185
56,57,412.0721172387196,1305.5886360714744
57,58,384.34967919340056,1037.8573174457683
58,59,401.6519069166128,489.1354234001293
59,60,411.51296647691333,10.014547754585704
60,61,419.17402431222007,351.8990403071017
61,62,396.8885191347754,82.42803660565724
62,63,422.7203241697124,916.4872080088987
63,64,451.05286151157713,1542.8626765690985
64,65,438.59282018111253,97.47250970245796
65,66,453.02317219336794,531.0243707550939
66,67,472.0721565430086,696.3376817502378
67,68,477.0121293800539,115.97938005390836
68,69,467.5694171578258,589.3153241650294
69,70,444.75624619134675,1120.3353646150722
70,71,483.34657258064516,803.578629032258
71,72,479.8348623853211,912.6180150125105
72,73,490.53850400220813,354.96163400496823
73,74,483.86928967520464,1175.2601003432796
74,75,509.49778115886903,1463.1856219094714
75,76,530.0453250453251,1343.8170163170164
76,77,522.5451459606246,1037.792090970808
77,78,533.3641207815275,1213.5674955595027
78,79,538.6305372290292,620.2462636326916
79,80,529.7504950495049,18.19009900990099
80,81,555.2171853856563,1132.134303112314
81,82,559.0404739435882,389.93740169864736
82,83,549.4141235813366,185.38184110970997
83,84,577.1933694181326,1532.6369418132613
84,85,545.3085370173574,922.3237690400283
85,86,584.1553172475425,129.77426273458445
86,87,614.3998010939831,759.9485827946295
87,88,573.6691505216096,855.0596125186289
88,89,591.0752303930788,1244.043445552003
89,90,566.3579335793358,27.39667896678967
90,91,572.2927215189874,983.6091772151899
91,92,596.1798384264138,303.471373375483
92,93,580.7650073206443,600.3081991215226
93,94,580.3198924731183,946.0403225806451
94,95,627.9277023865232,37.7536265793168
95,96,617.8614669240218,993.5314090191262
96,97,642.6098706176962,1284.121243739566
97,98,632.9232061838346,566.2787766761888
98,99,643.839072543618,667.4430670339761
99,100,654.8930441286462,489.47718773373225
100,101,632.161825726141,1590.8423236514523
101,102,674.2464007103443,1474.376863068434
102,103,663.0692621095518,394.43820733363515
103,104,650.3224431818181,114.96875
104,105,683.9928168858437,269.51530555862524
105,106,682.6737668161435,1008.9791072156543
106,107,694.5433308214017,831.5233609645818
107,108,702.296287861535,121.3365975859713
108,109,716.3140558209706,598.6434498365602
109,110,717.976558337773,26.70751198721364
110,111,719.5829787234043,688.4644844517185
111,112,721.8807537012113,488.72166890982504
112,113,739.450112162294,1231.8454110991904
113,114,746.7651006711409,166.69530201342283
114,115,742.0903563587232,1414.4845465293024
115,116,749.6205477690626,1047.026874115983
116,117,782.7687972332523,1549.4185986934801
